,Gair,lemma,tag,pymusas,synset,lemma.1,tag.1,pymusas_1
208,llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",llyfra,llyfru | llyfru,B | B,"['A9+/Q2.2', 'G2.1']"
209,llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",ilyfr,ilyfr,unk,['Z99']
213,cwrs,cwrs,E,['M1'],diploma,diploma,E,"['P1', 'Q1.2']"
215,cwrs,cwrs,E,['M1'],tiwtora,tiwtora,unk,['Z99']
216,cwrs,cwrs,E,['M1'],cymhwyster,cymhwyster,E,"['P1', 'X9.1', 'S6+', 'A1.7+']"
218,cwrs,cwrs,E,['M1'],hyfforddi,hyfforddi | hyfforddi,B | B,"['P1', 'K5.1']"
219,cwrs,cwrs,E,['M1'],wlpan,wlpan,unk,['Z99']
223,cwrs,cwrs,E,['M1'],diploma,diploma,E,"['P1', 'Q1.2']"
225,cwrs,cwrs,E,['M1'],tiwtora,tiwtora,unk,['Z99']
226,cwrs,cwrs,E,['M1'],cymhwyster,cymhwyster,E,"['P1', 'X9.1', 'S6+', 'A1.7+']"
228,cwrs,cwrs,E,['M1'],hyfforddi,hyfforddi | hyfforddi,B | B,"['P1', 'K5.1']"
229,cwrs,cwrs,E,['M1'],wlpan,wlpan,unk,['Z99']
232,rhaglen,rhaglen,E,['Y2'],rhagleni,rhagleni,unk,['Z99']
233,rhaglen,rhaglen,E,['Y2'],rhaglenni,rhaglennu,E,['Y2']
234,rhaglen,rhaglen,E,['Y2'],rhaglennydd,rhaglennydd,unk,['Z99']
235,rhaglen,rhaglen,E,['Y2'],ddogfen,dogfen,E,"['Q1.2', 'X2.2+', 'A5.2+']"
236,rhaglen,rhaglen,E,['Y2'],gyfres,cyfres,E,"['N4c', 'Q4.3c']"
237,rhaglen,rhaglen,E,['Y2'],rhaglennu,rhaglennu,B,['Y2']
239,rhaglen,rhaglen,E,['Y2'],rhaglenjonathan,rhaglenjonathan,unk,['Z99']
240,diolch,diolch,B,['S1.2.4+'],diolcha,diolch | diolch,B | B,['S1.2.4+']
241,diolch,diolch,E,['S1.2.4+'],dimdiolch,dimdiolch,unk,['Z99']
247,diolch,diolch,E,['S1.2.4+'],diolchwch,diolch | diolch,B | B,['S1.2.4+']
250,aelod,aelod,E,"['S5+/S2mf', 'B1']",aelode,aelode,unk,['Z99']
252,aelod,aelod,E,"['S5+/S2mf', 'B1']",cynaelod,cynaelod,unk,['Z99']
253,aelod,aelod,E,"['S5+/S2mf', 'B1']",seneddol,seneddol,Ans,['G1.1']
254,aelod,aelod,E,"['S5+/S2mf', 'B1']",cynrychiolydd,cynrychiolydd,E,"['Q2.1/S2mf', 'G1.1/S2mf', 'I2.2/S2mf', 'A4.1']"
255,aelod,aelod,E,"['S5+/S2mf', 'B1']",aeloda,aelodi | aelodi,B | B,['S5+']
256,aelod,aelod,E,"['S5+/S2mf', 'B1']",gynrychiolydd,cynrychiolydd,E,"['Q2.1/S2mf', 'G1.1/S2mf', 'I2.2/S2mf', 'A4.1']"
258,aelod,aelod,E,"['S5+/S2mf', 'B1']",cynaelodau,cynaelodau,unk,['Z99']
259,aelod,aelod,E,"['S5+/S2mf', 'B1']",cynrychiolwr,cynrychiolwr,E,"['Q2.1/S2mf', 'G1.1/S2mf', 'I2.2/S2mf', 'A4.1']"
