,Gair,lemma,tag,pymusas,synset,lemma.1,tag.1,pymusas_1
110,amser,amser,E,"['X7+/T1', 'N3.1/T1']",goramser,goramser,E,['I3.1/T1.3+']
111,amser,amser,E,"['X7+/T1', 'N3.1/T1']",Llinellamser,Llinellamser,E,['Z99']
112,amser,amser,E,"['X7+/T1', 'N3.1/T1']",bob,bob,unk,['Z99']
113,amser,amser,E,"['X7+/T1', 'N3.1/T1']",cylchfa,cylchfa,E,"['M7', 'W3', 'T1.1', 'O4.4']"
114,amser,amser,E,"['X7+/T1', 'N3.1/T1']",amserOnd,amserOnd,unk,['Z99']
115,amser,amser,E,"['X7+/T1', 'N3.1/T1']",oramser,goramser | goramser,Adf | E,['Z99']
116,amser,amser,E,"['X7+/T1', 'N3.1/T1']",lawnamser,lawnamser,unk,['Z99']
117,amser,amser,E,"['X7+/T1', 'N3.1/T1']",amserO,amseru,B,"['X7+/T1', 'N3.1/T1']"
118,amser,amser,E,"['X7+/T1', 'N3.1/T1']",Treila,Treila,E,['Z99']
119,amser,amser,E,"['X7+/T1', 'N3.1/T1']",10381,10381,Gw,['Z99']
120,ffordd,ffordd,E,['A13.3'],Gwibffordd,Gwibffordd,E,['Z99']
121,ffordd,ffordd,E,['A13.3'],slipffordd,slipffordd,unk,['Z99']
122,ffordd,ffordd,E,['A13.3'],gwibffordd,gwibffordd,unk,['Z99']
123,ffordd,ffordd,E,['A13.3'],Ysgwdffordd,Ysgwdffordd,E,['Z99']
124,ffordd,ffordd,E,['A13.3'],isffordd,isffordd,unk,['Z99']
125,ffordd,ffordd,E,['A13.3'],ddwyffordd,ddwyffordd,unk,['Z99']
126,ffordd,ffordd,E,['A13.3'],gefnffordd,gefnffordd,unk,['Z99']
127,ffordd,ffordd,E,['A13.3'],unffordd,unffordd,unk,['Z99']
128,ffordd,ffordd,E,['A13.3'],bellffordd,bellffordd,unk,['Z99']
129,ffordd,ffordd,E,['A13.3'],dwyffordd,dwyffordd,unk,['Z99']
130,ffordd,ffordd,E,['A13.3'],Gwibffordd,Gwibffordd,E,['Z99']
131,ffordd,ffordd,E,['A13.3'],slipffordd,slipffordd,unk,['Z99']
132,ffordd,ffordd,E,['A13.3'],gwibffordd,gwibffordd,unk,['Z99']
133,ffordd,ffordd,E,['A13.3'],Ysgwdffordd,Ysgwdffordd,E,['Z99']
134,ffordd,ffordd,E,['A13.3'],isffordd,isffordd,unk,['Z99']
135,ffordd,ffordd,E,['A13.3'],ddwyffordd,ddwyffordd,unk,['Z99']
136,ffordd,ffordd,E,['A13.3'],gefnffordd,gefnffordd,unk,['Z99']
137,ffordd,ffordd,E,['A13.3'],unffordd,unffordd,unk,['Z99']
138,ffordd,ffordd,E,['A13.3'],bellffordd,bellffordd,unk,['Z99']
139,ffordd,ffordd,E,['A13.3'],dwyffordd,dwyffordd,unk,['Z99']
140,enw,enw,E,['Q2.2'],βλαστος,βλαστος,unk,['Z99']
141,enw,enw,E,['Q2.2'],Lladin,Lladin,E,"['Z2/Q3', 'Z2/S2mf']"
142,enw,enw,E,['Q2.2'],pyrrhonotus,pyrrhonotus,unk,['Z99']
143,enw,enw,E,['Q2.2'],sef,sef,Cys,['Z5']
144,enw,enw,E,['Q2.2'],clamosus,clamosus,unk,['Z99']
145,enw,enw,E,['Q2.2'],cyanomelaena,cyanomelaena,unk,['Z99']
146,enw,enw,E,['Q2.2'],melaena,melaena,unk,['Z99']
147,enw,enw,E,['Q2.2'],chrysomela,chrysomela,unk,['Z99']
148,enw,enw,E,['Q2.2'],ardesiacus,ardesiacus,unk,['Z99']
149,enw,enw,E,['Q2.2'],coccineus,coccineus,unk,['Z99']
150,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",Anws,Anws,E,['Z99']
151,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",draw,draw,Adf,['M6']
152,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",gur,cur,E,['Z99']
153,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",82762,82762,Gw,['Z99']
154,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",llwydrheso,llwydrheso,unk,['Z99']
155,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",cur,cur,E,['Z99']
156,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",PGP,PGP,E,['Z99']
157,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",gwyrddrheso,gwyrddrheso,unk,['Z99']
158,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",cochla,cochli | cochli,B | B,['B5']
159,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",rheso,rheso,unk,['Z99']
160,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",Anws,Anws,E,['Z99']
161,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",draw,draw,Adf,['M6']
162,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",gur,cur,E,['Z99']
163,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",82762,82762,Gw,['Z99']
164,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",llwydrheso,llwydrheso,unk,['Z99']
165,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",cur,cur,E,['Z99']
166,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",PGP,PGP,E,['Z99']
167,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",gwyrddrheso,gwyrddrheso,unk,['Z99']
