word,sense,synset
amser,time,amseru
amser,time,amserol
amser,time,mesuriad
amser,time,epoc
amser,time,tymor
ffordd,road,heol
ffordd,road,lôn
ffordd,road,priffordd
ffordd,road,llwybr
ffordd,road,lon
ffordd,road,stryd
ffordd,road,cwrs
ffordd,road,traffordd
ffordd,road,wtra
ffordd,road,angorfa
ffordd,road,lon gefn
ffordd,road,beidr
ffordd,road,mynedfa
ffordd,road,rhewl
ffordd,road,ffurf
ffordd,road,dwyffordd
ffordd,road,tramwyfa
ffordd,road,taith
ffordd,road,trac
ffordd,road,cyfeiriad
ffordd,road,dull
ffordd,road,modd
ffordd,road,siwrne
ffordd,road,pellter
ffordd,road,medir
ffordd,manner,modd
ffordd,manner,dull
ffordd,manner,agwedd
ffordd,manner,arfer
ffordd,manner,ffurf
ffordd,manner,osgo
ffordd,manner,ymarweddiad
ffordd,manner,arferiad
ffordd,manner,cynllun
ffordd,manner,arddull
ffordd,manner,proses
ffordd,manner,ymarferiad
ffordd,manner,ymddygiad
ffordd,manner,diwyg
ffordd,manner,gwedd
ffordd,manner,ffordd o fod
ffordd,manner,trefn
ffordd,manner,cyfle
ffordd,manner,cyfarwyddiadau
ffordd,manner,cyfrwng
ffordd,manner,ymagweddiad
ffordd,manner,ymddangosiad
ffordd,manner,moesau
ffordd,manner,patrwm
ffordd,manner,hunaniaeth
ffordd,manner,person
enw,name,cyfenw
enw,name,galw
enw,name,enw cyntaf
enw,name,llysenw
enw,name,enwi
enw,name,teitl
enw,name,term
enw,name,rhywbeth
enw,name,enwad
enw,name,dodi enw ar
enw,name,cydnabod
enw,name,hunaniaeth
enw,name,person
enw,name,ffugenw
enw,name,ail enw
enw,name,unigryw
enw,name,gwreiddiol
enw,name,adnabod
enw,name,ffug enw
enw,name,enw olaf
enw,name,rhywun
enw,name,enw bedydd
enw,name,bedyddio
enw,name,dyfynnu
enw,name,canfod
enw,name,bedydd
enw,name,unigoliaeth
enw,name,dodi enw
enw,name,enwebu
pen,head,penglog
pen,head,corun
pen,head,pennaeth
pen,head,prif
pen,head,pwysicaf
pen,head,diwedd
pen,head,ymenydd
pen,head,ymennydd
pen,head,pennog
pen,head,blaen
pen,head,cneuen
pen,head,meddwl
pen,head,sgalp
pen,head,pennaf
pen,head,wynebyn
pen,head,prifathro
pen,head,rheolwr
pen,head,llywydd
pen,head,meistr
pen,head,prifathrawes
pen,head,top
pen,head,blaenori
pen,head,yn benuchel
pen,head,arwain
pen,head,arweinydd
pen,head,yn benysgafn
pen,head,tarddle
pen,head,arweinyddes
pen,head,copa
pen,head,blaeor
pen,head,pennyn
pen,head,uchafbwynt
pen,biro,beiro
pen,biro,ysgrifbin
pen,biro,ysgrifennu
pen,biro,pensil
pen,biro,inc
pen,biro,marciwr
pen,biro,ygrifbin
pen,biro,llifbin
pen,biro,mynegi
pen,biro,llawysgrifen
pen,biro,cyfleu
pen,biro,ysgfrifennu
pen,biro,sillafu
pen,biro,stilws
pen,biro,uwcholeuydd
pen,biro,crefft
pen,biro,ysgrifen
pen,biro,amlygwr
pen,biro,offer
pen,biro,cwilsen
pen,biro,creadigrwydd
pen,biro,papur
pen,biro,llyfr
lle,location,lleoliad
lle,location,safle
lle,location,ardal
lle,location,man
lle,location,llecyn
lle,location,bro
lle,location,rhywle
lle,location,mangre
lle,location,parth
lle,location,cymdogaeth
lle,location,pwynt
lle,location,rhanbarth
lle,location,gosodiad
lle,location,golygfa
lle,location,maes
lle,location,ble
lle,location,lleoli
lle,location,gofod
lle,location,amgylchedd
lle,location,lleoliadol
lle,location,cynefin
lle,location,lleol
lle,location,talaith
lle,location,cefndir
lle,location,bwlch
mis,month,cyfnod
mis,month,misol
mis,month,amser
mis,month,adeg
mis,month,blwyddyn
mis,month,tymor
mis,month,mai
mis,month,pedair wythnos
mis,month,calendr
mis,month,tymhorol
mis,month,dyddiad
mis,month,mis lleuad
mis,month,bob mis
mis,month,oes
mis,month,tro
mis,month,misoedd
mis,month,mislif
mis,month,rhan o flwyddyn
mis,month,unwaith y mis
mis,month,mis lloerol
mis,month,misglwyf
mis,month,newid
mis,month,dwywaith y mis
mis,month,diwrnod
mis,month,cyfnod o amser
mis,month,ionawr
mis,month,presennol
mis,month,sbel
mis,month,deufis
mis,month,dyfodol
mis,month,chwefror
mis,month,mis mêl
mis,month,gorffennol
mis,month,mawrth
mis,month,ebrill
tro,rotation,cylchdro
tro,rotation,troad
tro,rotation,cylch
tro,rotation,troi
tro,rotation,cylchdroad
tro,rotation,cylchdroi
tro,rotation,cylchred
tro,rotation,plygiad
tro,rotation,troadau
tro,rotation,newid
tro,rotation,cornel
tro,rotation,gwyriad
tro,rotation,trosi
tro,rotation,troelli
tro,rotation,gwyrdroad
tro,rotation,cyfle
tro,rotation,trofa
tro,rotation,cwmpas
tro,rotation,dirdro
tro,rotation,amgylchynnu
tro,rotation,troell
llyfr,book,nofel
