Gair,lemma,tag,pymusas,synset,lemma,tag,pymusas_1
ffordd,ffordd,E,['A13.3'],gwibffordd,gwibffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],Ysgwdffordd,Ysgwdffordd,E,['Z99']
ffordd,ffordd,E,['A13.3'],isffordd,isffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],ddwyffordd,ddwyffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],gefnffordd,gefnffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],unffordd,unffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],bellffordd,bellffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],dwyffordd,dwyffordd,unk,['Z99']
enw,enw,E,['Q2.2'],βλαστος,βλαστος,unk,['Z99']
enw,enw,E,['Q2.2'],Lladin,Lladin,E,"['Z2/Q3', 'Z2/S2mf']"
enw,enw,E,['Q2.2'],pyrrhonotus,pyrrhonotus,unk,['Z99']
enw,enw,E,['Q2.2'],sef,sef,Cys,['Z5']
enw,enw,E,['Q2.2'],clamosus,clamosus,unk,['Z99']
enw,enw,E,['Q2.2'],cyanomelaena,cyanomelaena,unk,['Z99']
enw,enw,E,['Q2.2'],melaena,melaena,unk,['Z99']
enw,enw,E,['Q2.2'],chrysomela,chrysomela,unk,['Z99']
enw,enw,E,['Q2.2'],ardesiacus,ardesiacus,unk,['Z99']
enw,enw,E,['Q2.2'],coccineus,coccineus,unk,['Z99']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",Anws,Anws,E,['Z99']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",draw,draw,Adf,['M6']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",gur,cur,E,['Z99']
